Title,Metascore
Knight and Day, 46
Cameraman: The Life and Work of Jack Cardiff, 71
Sex and Death 101, 24
April and the Extraordinary World, 85
Melinda and Melinda, 54
Alvin and the Chipmunks: Chipwrecked, 24
Flame and Citron, 74
Zack and Miri Make a Porno, 56
Music and Lyrics, 59
Judy Moody and the Not Bummer Summer, 37
Two Girls and a Guy, 66
Alvin and the Chipmunks: The Squeakquel, 41
The Squid and the Whale, 82
Rust and Bone, 73
And Now... Ladies and Gentlemen..., 54
The Young and Prodigious T.S. Spivet, 53
Dior and I, 70
The Prince and Me, 47
Balzac and the Little Chinese Seamstress, 65
Of Time and the City, 81
Alpha and Omega, 36
Game Over: Kasparov and the Machine, 66
"A Woman, a Gun and a Noodle Shop", 57
Chloe and Theo, 24
Fantastic Beasts and Where to Find Them, 66
...And They Lived Happily Ever After, 58
Catch and Release, 43
Indiana Jones and the Last Crusade, 65
Me and Orson Welles, 73
Oscar and Lucinda, 66
Witching and Bitching, 73
"Alexander and the Terrible, Horrible, No Good, Very Bad Day", 54
Tristram Shandy: A Cock and Bull Story, 80
Pride and Glory, 45
The Fast and the Furious, 58
Kubo and the Two Strings, 84
Terms and Conditions May Apply, 68
Agnes and His Brothers, 46
Captain Pantoja and the Special Services, 51
"The Good, the Bad and the Ugly", 90
Rivers and Tides: Andy Goldsworthy Working with Time, 82
The King and the Mockingbird, 87
Dona Flor and Her Two Husbands, 52
Words and Pictures, 49
The Princess and the Warrior, 64
Snow Flower and the Secret Fan, 42
Lost and Delirious, 53
Love and Other Impossible Pursuits, 37
Me and You, 57
Beauty and the Beast, 95
Pride and Prejudice and Zombies, 45
Ramona and Beezus, 56
Burke and Hare, 46
The Devil and Daniel Johnston, 77
Arthur and the Invisibles, 39
Come Out and Play, 44
Pauline and Paulette, 70
Sex and the City 2, 27
Cutie and the Boxer, 83
Sex and Lucia, 65
Biggie and Tupac, 63
An Officer and a Gentleman, 75
Tucker and Dale vs Evil, 65
The Artist and the Model, 53
Bright Lights: Starring Carrie Fisher and Debbie Reynolds, 78
Charlie and the Chocolate Factory, 72
Lars and the Real Girl, 70
Nico and Dani, 59
Anna and the King, 56
Hannah and Her Sisters, 90
"Good Night, and Good Luck.", 80
Coffee and Cigarettes, 65
Hit and Run, 50
Masked and Anonymous, 32
Connie and Carla, 44
Love and Death on Long Island, 80
Alvin and the Chipmunks, 39
Kicking and Screaming, 75
Love and Honor, 28
Blood and Chocolate, 33
Games of Love and Chance, 71
Dogtown and Z-Boys, 76
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe", 75
Boy and the World, 80
Sweet and Lowdown, 70
Charlie: The Life and Art of Charles Chaplin, 80
Walking and Talking, 67
City of Life and Death, 85
The 100 Year-Old Man Who Climbed Out the Window and Disappeared, 58
Mothers and Daughters, 29
Josie and the Pussycats, 47
Roman Polanski: Wanted and Desired, 78
Bread and Roses, 57
Aileen: Life and Death of a Serial Killer, 71
Outlaws and Angels, 40
Peter and Vandy, 44
Down and Dangerous, 43
Death and the Maiden, 72
"Lo and Behold, Reveries of the Connected World", 76
Master and Commander: The Far Side of the World, 81
